Latitude,Longitude,
37.882987,-122.289597,"1200 CURTIS ST, Berkeley, CA"
37.8665544,-122.2540694,"2700 HASTE ST, Berkeley, CA"
37.866324,-122.2633511,"2400 ELLSWORTH ST, Berkeley, CA"
37.8541893,-122.2791422,"1500 JULIA ST, Berkeley, CA"
37.871026,-122.294964,"1000 DELAWARE ST, Berkeley, CA"
37.8653753,-122.2565035,"HILLEGASS AVE& DWIGHT WAY, Berkeley, CA"
37.861346,-122.2502661,"2800 FOREST AVE, Berkeley, CA"
37.8711228,-122.2682804,"2100 SHATTUCK  AVE, Berkeley, CA"
37.8760345,-122.2603253,"2500 RIDGE RD, Berkeley, CA"
37.8636146,-122.2536932,"2600 COLLEGE AVE, Berkeley, CA"
37.8726947,-122.2707384,"2000 BERKELEY WAY, Berkeley, CA"
37.8651365,-122.2584315,"DWIGHT WAY& TELEGRAPH AVE, Berkeley, CA"
37.8751146,-122.273398,"1900 FRANCISCO  ST, Berkeley, CA"
37.8649541,-122.2589126,"2500 TELEGRAPH AVE, Berkeley, CA"
37.8781932,-122.2643293,"2300 HILGARD AVE, Berkeley, CA"
37.850792,-122.270848,"ADELINE ST&  FAIRVIEW ST, Berkeley, CA"
37.8815808,-122.2536237,"00 PARNASSUS CT, Berkeley, CA"
37.8684989,-122.2677872,"2100 KITTREDGE ST, Berkeley, CA"
37.8651878,-122.2577886,"2500 REGENT ST, Berkeley, CA"
37.8648961,-122.2673922,"2100 HASTE ST, Berkeley, CA"
37.8487535,-122.2713234,"1800 ALCATRAZ AVE, Berkeley, CA"
37.8612548,-122.2600014,"2400 DERBY ST, Berkeley, CA"
37.876953,-122.2605161,"2500 LE CONTE AVE, Berkeley, CA"
37.873331,-122.2732012,"1900 HEARST AVE, Berkeley, CA"
37.8960625,-122.2579706,"900 OVERLOOK  RD, Berkeley, CA"
37.87959,-122.257935,"1600 LA LOMA AVE, Berkeley, CA"
37.8676712,-122.2510212,"2400 WARR ING ST, Berkeley, CA"
37.867866,-122.2700827,"2000 KITTREDGE ST, Berkeley, CA"
37.850627,-122.2783159,"1500 WOOLSEY ST, Berkeley, CA"
37.8669169,-122.2587632,"2500 CHANNING  WAY, Berkeley, CA"
37.8702602,-122.2731962,"2100 ML  KING JR WAY, Berkeley, CA"
37.8764708,-122.2570195,"RIDGE RD&   LA LOMA AVE, Berkeley, CA"
37.8655842,-122.2679444,"2400 SHATTUCK  AVE, Berkeley, CA"
37.8693804,-122.2895262,"UNIVERSITY AVE& CURTIS ST, Berkeley, CA"
37.8692363,-122.2682686,"2200 SHATTUCK AVE, Berkeley, CA"
37.8830832,-122.2754153,"1300 JOSEPHINE ST, Berkeley, CA"
37.8693804,-122.2895262,"1200 UNIVERSITY  AVE, Berkeley, CA"
37.8788502,-122.2898647,"1400 NORTHSIDE AVE, Berkeley, CA"
37.8825068,-122.2788884,"1700 HOPKINS ST, Berkeley, CA"
37.873331,-122.2732012,"1900 HEARST AVE, Berkeley, CA"
37.8684944,-122.2941347,"1000 UNIVERSITY  AVE, Berkeley, CA"
37.8545706,-122.2691865,"3000 ADELINE ST, Berkeley, CA"
37.8547334,-122.2803354,"2900 STANTON ST, Berkeley, CA"
37.8612548,-122.2600014,"2400 DERBY ST, Berkeley, CA"
37.8595462,-122.2591441,"2400 STUART ST, Berkeley, CA"
37.8639383,-122.2605464,"2400 BLAKE ST, Berkeley, CA"
37.8633542,-122.2649969,"2200 BLAKE ST, Berkeley, CA"
37.876819,-122.26584,"1700 SPRUCE ST, Berkeley, CA"
37.8936844,-122.2721076,"900 INDIAN  ROCK AVE, Berkeley, CA"
37.8673847,-122.2609578,"2400 DURANT AVE, Berkeley, CA"
37.8659426,-122.2504829,"DWIGHT WAY& WARRING ST, Berkeley, CA"
37.8673607,-122.2540202,"2700 CHANNING  WAY, Berkeley, CA"
37.8630469,-122.2603652,"DANA ST&  PARKER ST, Berkeley, CA"
37.8597032,-122.247158,"OAK KNOLL TER &  AVALON AVE, Berkeley, CA"
37.8816687,-122.2819262,"1300 CALIFORNIA ST, Berkeley, CA"
37.8778018,-122.2988209,"1400 EIGHTH ST, Berkeley, CA"
37.859988,-122.2509853,"2800 STUART ST, Berkeley, CA"
37.8607499,-122.2559076,"2700 HILLEGASS AVE, Berkeley, CA"
37.878616,-122.2660017,"2200 CEDAR ST, Berkeley, CA"
37.8632886,-122.2565605,"2600 HILLEGASS AVE, Berkeley, CA"
37.867621,-122.258655,"2500 DURANT AVE, Berkeley, CA"
37.8633773,-122.2551933,"2600 BENVENUE AVE, Berkeley, CA"
37.865331,-122.2552602,"2500 BENVENUE AVE, Berkeley, CA"
37.8779675,-122.2725621,"1600 BONITA AVE, Berkeley, CA"
37.8763448,-122.2781037,"1700 LINCOLN ST, Berkeley, CA"
37.865331,-122.2552602,"2500 BENVENUE AVE, Berkeley, CA"
37.8734571,-122.2720839,"BONITA AVE& HEARST AVE, Berkeley, CA"
37.8521407,-122.286737,"ASHBY AVE& SAN PABLO AVE, Berkeley, CA"
37.8500919,-122.274076,"3200 KING ST, Berkeley, CA"
37.8714469,-122.2660379,"2100 OXFORD ST, Berkeley, CA"
37.864542,-122.2629652,"2300 DWIGHT WAY, Berkeley, CA"
37.864542,-122.2629652,"2300 DWIGHT WAY, Berkeley, CA"
37.847212,-122.281126,"1300 ALCATRAZ AVE, Berkeley, CA"
37.8597698,-122.2570356,"2500 STUART ST, Berkeley, CA"
37.8684944,-122.2941347,"1000 UNIVERSITY  AVE, Berkeley, CA"
37.8657237,-122.2516624,"2500 PIEDMONT  AVE, Berkeley, CA"
37.8487531,-122.2713266,"ADELINE ST&  ALCATRAZ AVE, Berkeley, CA"
37.8556508,-122.2526394,"2700 WEBSTER ST, Berkeley, CA"
37.8764723,-122.2570083,"2700 RIDGE RD, Berkeley, CA"
37.8680432,-122.2499445,"2400 PROSPECT ST, Berkeley, CA"
37.865331,-122.2552602,"2500 BENVENUE  AVE, Berkeley, CA"
37.865137,-122.25668,"2500 HILLEGASS AVE, Berkeley, CA"
37.8654471,-122.2631381," 2300 HASTE ST, Berkeley, CA"
37.8945196,-122.2762506," 800 CONTRA COSTA AVE, Berkeley, CA"
37.8673847,-122.2609578,"2400 DURANT AVE, Berkeley, CA"
